"lot_id","account_company_name"
183289,TU Delft
183273,TU Delft
183267,TU Delft
183268,TU Delft
183290,TU Delft
183672,iTAD Solutions
183681,iTAD Solutions
183682,iTAD Solutions
183708,NS Reizigers
183715,NS Reizigers
183660,iTAD Solutions
183666,iTAD Solutions
183661,iTAD Solutions
183662,iTAD Solutions
183719,NS Reizigers
183230,ARP Solutions
183291,TU Delft
183677,iTAD Solutions
183678,iTAD Solutions
183684,iTAD Solutions
183685,iTAD Solutions
183266,TU Delft
183274,TU Delft
183275,TU Delft
183276,TU Delft
183277,TU Delft
183279,TU Delft
183280,TU Delft
183281,TU Delft
183282,TU Delft
183283,TU Delft
183269,TU Delft
183270,TU Delft
183271,TU Delft
183272,TU Delft
183285,TU Delft
183286,TU Delft
183287,TU Delft
183288,TU Delft
184953,TU Delft
184954,TU Delft
184955,TU Delft
183738,NS Reizigers
183284,TU Delft
183721,NS Reizigers
183683,iTAD Solutions
183673,iTAD Solutions
183679,iTAD Solutions
183680,iTAD Solutions
183674,iTAD Solutions
183675,iTAD Solutions
183676,iTAD Solutions
183703,NS Reizigers
183734,NS Reizigers
183741,NS Reizigers
183739,NS Reizigers
183743,NS Reizigers
183696,NS Reizigers
183705,NS Reizigers
183709,NS Reizigers
183736,NS Reizigers
183742,NS Reizigers
183704,NS Reizigers
183740,NS Reizigers
183688,iTAD Solutions
183686,iTAD Solutions
183687,iTAD Solutions
183670,iTAD Solutions
183667,iTAD Solutions
183663,iTAD Solutions
183664,iTAD Solutions
183665,iTAD Solutions
183737,NS Reizigers
183732,NS Reizigers
183727,NS Reizigers
183700,NS Reizigers
183712,NS Reizigers
183694,NS Reizigers
183720,NS Reizigers
183693,NS Reizigers
183695,NS Reizigers
183731,NS Reizigers
182961,Argo360
182962,Argo360
182963,Argo360
182964,Argo360
182965,Argo360
182966,Argo360
182967,Argo360
182968,Argo360
182969,Argo360
182970,Argo360
182971,Argo360
182972,Argo360
182973,Argo360
182974,Argo360
182975,Argo360
182976,Argo360
182977,Argo360
182978,Argo360
182979,Argo360
182980,Argo360
182981,Argo360
182982,Argo360
182983,Argo360
183200,Argo360
183201,Argo360
183202,Argo360
183203,Argo360
183204,Argo360
183205,Argo360
183210,Argo360
183258,G4S Nederland
183961,TU Delft
183962,TU Delft
183326,G4S Nederland
183327,G4S Nederland
183328,G4S Nederland
183329,G4S Nederland
183303,G4S Nederland
183304,G4S Nederland
183305,G4S Nederland
183306,G4S Nederland
183307,G4S Nederland
183308,G4S Nederland
183309,G4S Nederland
183310,G4S Nederland
183311,G4S Nederland
183312,G4S Nederland
183313,G4S Nederland
183314,G4S Nederland
183315,G4S Nederland
183316,G4S Nederland
183317,G4S Nederland
183318,G4S Nederland
183319,G4S Nederland
183320,G4S Nederland
183321,G4S Nederland
183322,G4S Nederland
183323,G4S Nederland
183324,G4S Nederland
183325,G4S Nederland
183341,G4S Nederland
183207,KOcycle
183209,KOcycle
182784,NRC Media
182785,NRC Media
182786,NRC Media
182787,NRC Media
182788,NRC Media
182789,NRC Media
182790,NRC Media
182791,NRC Media
182792,NRC Media
182793,NRC Media
182783,NRC Media
182947,G4S Nederland
182046,KOcycle
182045,KOcycle
182041,KOcycle
182958,G4S Nederland
182042,KOcycle
182043,KOcycle
182044,KOcycle
182957,G4S Nederland
182948,G4S Nederland
182949,G4S Nederland
182950,G4S Nederland
182951,G4S Nederland
182952,G4S Nederland
182953,G4S Nederland
182954,G4S Nederland
182955,G4S Nederland
182928,G4S Nederland
182929,G4S Nederland
182930,G4S Nederland
182931,G4S Nederland
182932,G4S Nederland
182933,G4S Nederland
182934,G4S Nederland
182935,G4S Nederland
182936,G4S Nederland
182937,G4S Nederland
182938,G4S Nederland
182939,G4S Nederland
182940,G4S Nederland
182941,G4S Nederland
182942,G4S Nederland
182943,G4S Nederland
182944,G4S Nederland
182945,G4S Nederland
182946,G4S Nederland
182051,KOcycle
183208,G4S Nederland
183211,KOcycle
182048,KOcycle
182956,G4S Nederland
182533,TU Delft
182480,TU Delft
182481,TU Delft
182482,TU Delft
182507,TU Delft
182592,TU Delft
182539,TU Delft
182586,TU Delft
182535,TU Delft
182536,TU Delft
182474,TU Delft
182475,TU Delft
182476,TU Delft
182477,TU Delft
182478,TU Delft
182534,TU Delft
182532,TU Delft
182542,TU Delft
182531,TU Delft
182523,TU Delft
182508,TU Delft
182050,KOcycle
182509,TU Delft
182479,TU Delft
182522,TU Delft
182053,KOcycle
182540,TU Delft
178768,Coolblue
181498,TU Delft
181499,TU Delft
181485,TU Delft
181495,TU Delft
181496,TU Delft
181500,TU Delft
181509,TU Delft
181510,TU Delft
181511,TU Delft
181513,TU Delft
181514,TU Delft
181516,TU Delft
181525,TU Delft
179920,Intertrust Group
179921,Intertrust Group
179922,Intertrust Group
179923,Intertrust Group
179924,Intertrust Group
179925,Intertrust Group
179926,Intertrust Group
179927,Intertrust Group
179939,Intertrust Group
179943,Intertrust Group
179940,Intertrust Group
179941,Intertrust Group
179942,Intertrust Group
179938,Intertrust Group
179928,Intertrust Group
179929,Intertrust Group
179930,Intertrust Group
179931,Intertrust Group
179932,Intertrust Group
179933,Intertrust Group
179934,Intertrust Group
179937,Intertrust Group
178824,Coolblue
179935,Intertrust Group
179936,Intertrust Group
179448,Coolblue
178771,Coolblue
179259,Coolblue
178825,Coolblue
178816,Coolblue
178840,Coolblue
179380,Coolblue
178770,Coolblue
178818,Coolblue
178817,Coolblue
179124,Coolblue
178861,Coolblue
179377,Coolblue
179381,Coolblue
181506,TU Delft
